"Country","State","City","Station name","Timestamp(UTC)","PM2.5","PM10","Ozone","CO","SO2","US AQI","Main pollutant"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-17T00:00:00.000Z",9.46,,56.75,,,39,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-18T00:00:00.000Z",11.5,,50.52,,,48,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-19T00:00:00.000Z",10.54,,45.91,,,44,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-20T00:00:00.000Z",9.92,,54,,,41,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-21T00:00:00.000Z",8.08,,74.33,,,33,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-22T00:00:00.000Z",5.71,,62.83,,,25,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-23T00:00:00.000Z",11.05,,44.92,,,46,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-24T00:00:00.000Z",12.67,,57.33,,,52,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-25T00:00:00.000Z",16,,68,,,59,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-26T00:00:00.000Z",19,,65.92,,,65,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-27T00:00:00.000Z",12.71,,81,,,52,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-28T00:00:00.000Z",18.04,,61.58,,,63,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-29T00:00:00.000Z",16.04,,66.42,,,59,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-30T00:00:00.000Z",14.42,,60.17,,,56,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-05-31T00:00:00.000Z",13.82,,66.5,,,55,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-01T00:00:00.000Z",12.46,,79.92,,,52,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-02T00:00:00.000Z",14.26,,84.57,,,56,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-03T00:00:00.000Z",13.82,,80,,,55,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-04T00:00:00.000Z",18.5,,76.5,,,64,"PM2.5"
